BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 5, 370, 0.01, 15-May-2024 13:15:00
90234, 44213, 3, 306, 0.01, 15-May-2024 13:15:00
90234, 44450, 0, 3691, 0.00, 15-May-2024 13:15:00
90234, 44451, 0, 4037, 0.00, 15-May-2024 13:15:00
90234, 44452, 0, 3281, 0.00, 15-May-2024 13:15:00
90234, 44453, 0, 2422, 0.00, 15-May-2024 13:15:00
90234, 44454, 0, 28146, 0.00, 15-May-2024 13:15:00
90234, 44455, 7, 942, 0.01, 15-May-2024 13:15:00
90234, 44498, 436, 268, 1.63, 15-May-2024 13:15:00
90234, 44500, 0, 18027, 0.00, 15-May-2024 13:15:00
90234, 44579, 0, 4040, 0.00, 15-May-2024 13:15:00
90234, 44590, 0, 19349, 0.00, 15-May-2024 13:15:00
90234, 44593, 0, 3979, 0.00, 15-May-2024 13:15:00
90234, 44619, 6029, 86, 70.10, 15-May-2024 13:15:00
90234, 44787, 0, 1291, 0.00, 15-May-2024 13:15:00
90234, 44789, 0, 524, 0.00, 15-May-2024 13:15:00
90234, 44886, 4, 2331, 0.00, 15-May-2024 13:15:00
90234, 44888, 0, 1549, 0.00, 15-May-2024 13:15:00
90234, 44892, 0, 147, 0.00, 15-May-2024 13:15:00
90234, 44911, 0, 716, 0.00, 15-May-2024 13:15:00
90234, 44913, 0, 654, 0.00, 15-May-2024 13:15:00
90234, 44914, 0, 693, 0.00, 15-May-2024 13:15:00
90234, 44915, 0, 1159, 0.00, 15-May-2024 13:15:00
90234, 44920, 0, 4765, 0.00, 15-May-2024 13:15:00
90234, 44924, 0, 222, 0.00, 15-May-2024 13:15:00
90234, 44925, 0, 259, 0.00, 15-May-2024 13:15:00
90234, 44926, 0, 226, 0.00, 15-May-2024 13:15:00
90234, 44927, 129, 89, 1.45, 15-May-2024 13:15:00
90234, 44938, 0, 3706, 0.00, 15-May-2024 13:15:00
90234, 44949, 239, 110, 2.17, 15-May-2024 13:15:00
90234, 44954, 0, 3539, 0.00, 15-May-2024 13:15:00
90234, 44956, 0, 3705, 0.00, 15-May-2024 13:15:00
90234, 44957, 0, 9695, 0.00, 15-May-2024 13:15:00
90234, 45145, 933, 168, 5.55, 15-May-2024 13:15:00
90234, 45148, 0, 13004, 0.00, 15-May-2024 13:15:00
90234, 45149, 0, 735, 0.00, 15-May-2024 13:15:00
90234, 45150, 0, 717, 0.00, 15-May-2024 13:15:00
90234, 45151, 0, 329, 0.00, 15-May-2024 13:15:00
90234, 45160, 0, 340, 0.00, 15-May-2024 13:15:00
90234, 45161, 32013, 131, 244.37, 15-May-2024 13:15:00
90234, 45162, 31415, 119, 263.99, 15-May-2024 13:15:00
90234, 45163, 32099, 128, 250.77, 15-May-2024 13:15:00
90234, 45164, 7938, 186, 42.68, 15-May-2024 13:15:00
90234, 45165, 8213, 193, 42.55, 15-May-2024 13:15:00
90234, 45166, 16884, 236, 71.54, 15-May-2024 13:15:00
90234, 45167, 8097, 191, 42.39, 15-May-2024 13:15:00
90234, 45174, 0, 73, 0.00, 15-May-2024 13:15:00
90234, 45177, 0, 9788, 0.00, 15-May-2024 13:15:00
90234, 45184, 5883, 111, 53.00, 15-May-2024 13:15:00
90234, 45185, 16, 1294, 0.01, 15-May-2024 13:15:00
