BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 126, 875, 0.14, 05-Jun-2024 16:00:00
90234, 44213, 109, 406, 0.27, 05-Jun-2024 16:00:00
90234, 44450, 0, 6934, 0.00, 05-Jun-2024 16:00:00
90234, 44451, 0, 15184, 0.00, 05-Jun-2024 16:00:00
90234, 44452, 361, 104, 3.47, 05-Jun-2024 16:00:00
90234, 44453, 52, 15606, 0.00, 05-Jun-2024 16:00:00
90234, 44454, 28, 107666, 0.00, 05-Jun-2024 16:00:00
90234, 44455, 66, 923, 0.07, 05-Jun-2024 16:00:00
90234, 44498, 264, 336, 0.79, 05-Jun-2024 16:00:00
90234, 44500, 0, 119346, 0.00, 05-Jun-2024 16:00:00
90234, 44579, 11, 29149, 0.00, 05-Jun-2024 16:00:00
90234, 44590, 34, 59075, 0.00, 05-Jun-2024 16:00:00
90234, 44593, 20, 20690, 0.00, 05-Jun-2024 16:00:00
90234, 44619, 9700, 374, 25.94, 05-Jun-2024 16:00:00
90234, 44787, 5, 20827, 0.00, 05-Jun-2024 16:00:00
90234, 44789, 143, 726, 0.20, 05-Jun-2024 16:00:00
90234, 44886, 74, 2098, 0.04, 05-Jun-2024 16:00:00
90234, 44888, 2, 4871, 0.00, 05-Jun-2024 16:00:00
90234, 44892, 47, 3095, 0.02, 05-Jun-2024 16:00:00
90234, 44911, 0, 27333, 0.00, 05-Jun-2024 16:00:00
90234, 44913, 0, 479, 0.00, 05-Jun-2024 16:00:00
90234, 44914, 0, 520, 0.00, 05-Jun-2024 16:00:00
90234, 44915, 2, 9210, 0.00, 05-Jun-2024 16:00:00
90234, 44917, 22759, 359, 63.40, 05-Jun-2024 16:00:00
90234, 44920, 0, 5008, 0.00, 05-Jun-2024 16:00:00
90234, 44924, 268, 2397, 0.11, 05-Jun-2024 16:00:00
90234, 44925, 55, 2533, 0.02, 05-Jun-2024 16:00:00
90234, 44926, 47, 2438, 0.02, 05-Jun-2024 16:00:00
90234, 44927, 839, 349, 2.40, 05-Jun-2024 16:00:00
90234, 44938, 379, 107, 3.54, 05-Jun-2024 16:00:00
90234, 44949, 885, 297, 2.98, 05-Jun-2024 16:00:00
90234, 44951, 602, 306, 1.97, 05-Jun-2024 16:00:00
90234, 44953, 86, 48, 1.79, 05-Jun-2024 16:00:00
90234, 44954, 391, 113, 3.46, 05-Jun-2024 16:00:00
90234, 44956, 0, 6946, 0.00, 05-Jun-2024 16:00:00
90234, 44957, 0, 93831, 0.00, 05-Jun-2024 16:00:00
90234, 45145, 4373, 229, 19.10, 05-Jun-2024 16:00:00
90234, 45146, 80, 1960, 0.04, 05-Jun-2024 16:00:00
90234, 45148, 7, 92877, 0.00, 05-Jun-2024 16:00:00
90234, 45149, 0, 27221, 0.00, 05-Jun-2024 16:00:00
90234, 45150, 0, 26953, 0.00, 05-Jun-2024 16:00:00
90234, 45151, 265, 9710, 0.03, 05-Jun-2024 16:00:00
90234, 45160, 64, 9679, 0.01, 05-Jun-2024 16:00:00
90234, 45161, 50050, 610, 82.05, 05-Jun-2024 16:00:00
90234, 45162, 37621, 572, 65.77, 05-Jun-2024 16:00:00
90234, 45163, 39573, 544, 72.74, 05-Jun-2024 16:00:00
90234, 45164, 26068, 543, 48.01, 05-Jun-2024 16:00:00
90234, 45165, 27267, 586, 46.53, 05-Jun-2024 16:00:00
90234, 45166, 16744, 520, 32.20, 05-Jun-2024 16:00:00
90234, 45167, 31879, 610, 52.26, 05-Jun-2024 16:00:00
90234, 45177, 0, 93080, 0.00, 05-Jun-2024 16:00:00
90234, 45178, 0, 43403, 0.00, 05-Jun-2024 16:00:00
90234, 45183, 0, 43349, 0.00, 05-Jun-2024 16:00:00
90234, 45184, 10041, 328, 30.61, 05-Jun-2024 16:00:00
90234, 45185, 56, 1180, 0.05, 05-Jun-2024 16:00:00
90234, 45187, 7983, 844, 9.46, 05-Jun-2024 16:00:00
90234, 45189, 229, 1005, 0.23, 05-Jun-2024 16:00:00
90234, 45190, 20905, 354, 59.05, 05-Jun-2024 16:00:00
90234, 45191, 42, 11683, 0.00, 05-Jun-2024 16:00:00
90234, 45193, 0, 8024, 0.00, 05-Jun-2024 16:00:00
90234, 45194, 54, 5387, 0.01, 05-Jun-2024 16:00:00
90234, 45196, 110, 648, 0.17, 05-Jun-2024 16:00:00
90234, 45198, 0, 8048, 0.00, 05-Jun-2024 16:00:00
90234, 45199, 0, 8440, 0.00, 05-Jun-2024 16:00:00
90234, 45200, 18924, 532, 35.57, 05-Jun-2024 16:00:00
90234, 45250, 0, 26934, 0.00, 05-Jun-2024 16:00:00
90234, 45251, 0, 2185, 0.00, 05-Jun-2024 16:00:00
90234, 45252, 0, 2211, 0.00, 05-Jun-2024 16:00:00
90234, 45253, 0, 8511, 0.00, 05-Jun-2024 16:00:00
90234, 45256, 0, 27566, 0.00, 05-Jun-2024 16:00:00
90234, 45260, 8449, 849, 9.95, 05-Jun-2024 16:00:00
90234, 45261, 0, 27624, 0.00, 05-Jun-2024 16:00:00
90234, 45262, 0, 8387, 0.00, 05-Jun-2024 16:00:00
90234, 45332, 18642, 469, 39.75, 05-Jun-2024 16:00:00
