BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 44, 247, 0.18, 03-Jun-2024 16:00:00
90234, 44213, 57, 190, 0.30, 03-Jun-2024 16:00:00
90234, 44450, 0, 2940, 0.00, 03-Jun-2024 16:00:00
90234, 44451, 1, 7276, 0.00, 03-Jun-2024 16:00:00
90234, 44452, 351, 1167, 0.30, 03-Jun-2024 16:00:00
90234, 44453, 4, 5509, 0.00, 03-Jun-2024 16:00:00
90234, 44454, 5, 25414, 0.00, 03-Jun-2024 16:00:00
90234, 44455, 27, 795, 0.03, 03-Jun-2024 16:00:00
90234, 44498, 112, 16, 7.00, 03-Jun-2024 16:00:00
90234, 44500, 2, 9467, 0.00, 03-Jun-2024 16:00:00
90234, 44579, 7, 5388, 0.00, 03-Jun-2024 16:00:00
90234, 44590, 0, 18129, 0.00, 03-Jun-2024 16:00:00
90234, 44593, 2, 4346, 0.00, 03-Jun-2024 16:00:00
90234, 44619, 2699, 253, 10.67, 03-Jun-2024 16:00:00
90234, 44787, 2, 605, 0.00, 03-Jun-2024 16:00:00
90234, 44789, 68, 694, 0.10, 03-Jun-2024 16:00:00
90234, 44886, 51, 3105, 0.02, 03-Jun-2024 16:00:00
90234, 44888, 1, 5499, 0.00, 03-Jun-2024 16:00:00
90234, 44892, 2, 1524, 0.00, 03-Jun-2024 16:00:00
90234, 44911, 11, 18395, 0.00, 03-Jun-2024 16:00:00
90234, 44913, 0, 143, 0.00, 03-Jun-2024 16:00:00
90234, 44914, 0, 144, 0.00, 03-Jun-2024 16:00:00
90234, 44915, 922, 2889, 0.32, 03-Jun-2024 16:00:00
90234, 44916, 209, 2058, 0.10, 03-Jun-2024 16:00:00
90234, 44917, 20202, 264, 76.52, 03-Jun-2024 16:00:00
90234, 44920, 0, 4942, 0.00, 03-Jun-2024 16:00:00
90234, 44924, 111, 1002, 0.11, 03-Jun-2024 16:00:00
90234, 44925, 102, 936, 0.11, 03-Jun-2024 16:00:00
90234, 44926, 250, 941, 0.27, 03-Jun-2024 16:00:00
90234, 44927, 729, 205, 3.56, 03-Jun-2024 16:00:00
90234, 44938, 369, 1166, 0.32, 03-Jun-2024 16:00:00
90234, 44949, 557, 203, 2.74, 03-Jun-2024 16:00:00
90234, 44951, 504, 210, 2.40, 03-Jun-2024 16:00:00
90234, 44954, 347, 1180, 0.29, 03-Jun-2024 16:00:00
90234, 44956, 0, 2946, 0.00, 03-Jun-2024 16:00:00
90234, 44957, 1027, 66, 15.56, 03-Jun-2024 16:00:00
90234, 45145, 2251, 818, 2.75, 03-Jun-2024 16:00:00
90234, 45146, 24, 2186, 0.01, 03-Jun-2024 16:00:00
90234, 45148, 6, 21537, 0.00, 03-Jun-2024 16:00:00
90234, 45149, 2, 19157, 0.00, 03-Jun-2024 16:00:00
90234, 45150, 2, 19356, 0.00, 03-Jun-2024 16:00:00
90234, 45151, 33, 2406, 0.01, 03-Jun-2024 16:00:00
90234, 45160, 72, 2384, 0.03, 03-Jun-2024 16:00:00
90234, 45161, 35425, 238, 148.84, 03-Jun-2024 16:00:00
90234, 45162, 36539, 241, 151.61, 03-Jun-2024 16:00:00
90234, 45163, 30580, 189, 161.80, 03-Jun-2024 16:00:00
90234, 45164, 40935, 462, 88.60, 03-Jun-2024 16:00:00
90234, 45165, 40352, 459, 87.91, 03-Jun-2024 16:00:00
90234, 45166, 40950, 407, 100.61, 03-Jun-2024 16:00:00
90234, 45167, 45934, 525, 87.49, 03-Jun-2024 16:00:00
90234, 45177, 3, 71, 0.04, 03-Jun-2024 16:00:00
90234, 45178, 0, 776, 0.00, 03-Jun-2024 16:00:00
90234, 45183, 0, 851, 0.00, 03-Jun-2024 16:00:00
90234, 45184, 2694, 239, 11.27, 03-Jun-2024 16:00:00
90234, 45185, 63, 1056, 0.06, 03-Jun-2024 16:00:00
90234, 45187, 18973, 522, 36.35, 03-Jun-2024 16:00:00
90234, 45189, 63, 863, 0.07, 03-Jun-2024 16:00:00
90234, 45190, 16256, 304, 53.47, 03-Jun-2024 16:00:00
90234, 45191, 1, 7677, 0.00, 03-Jun-2024 16:00:00
90234, 45193, 0, 1186, 0.00, 03-Jun-2024 16:00:00
90234, 45194, 6, 7687, 0.00, 03-Jun-2024 16:00:00
90234, 45196, 27, 206, 0.13, 03-Jun-2024 16:00:00
90234, 45198, 0, 1126, 0.00, 03-Jun-2024 16:00:00
90234, 45199, 0, 1354, 0.00, 03-Jun-2024 16:00:00
90234, 45200, 41967, 436, 96.25, 03-Jun-2024 16:00:00
90234, 45250, 0, 19816, 0.00, 03-Jun-2024 16:00:00
90234, 45253, 0, 1358, 0.00, 03-Jun-2024 16:00:00
90234, 45256, 0, 10194, 0.00, 03-Jun-2024 16:00:00
90234, 45260, 19138, 537, 35.64, 03-Jun-2024 16:00:00
90234, 45261, 0, 10178, 0.00, 03-Jun-2024 16:00:00
90234, 45262, 0, 1364, 0.00, 03-Jun-2024 16:00:00
90234, 45332, 41922, 429, 97.72, 03-Jun-2024 16:00:00
90234, 45333, 47, 791, 0.06, 03-Jun-2024 16:00:00
90234, 45334, 0, 189, 0.00, 03-Jun-2024 16:00:00
90234, 45335, 0, 203, 0.00, 03-Jun-2024 16:00:00
90234, 45357, 0, 2880, 0.00, 03-Jun-2024 16:00:00
90234, 45397, 0, 224, 0.00, 03-Jun-2024 16:00:00
90234, 45398, 0, 196, 0.00, 03-Jun-2024 16:00:00
90234, 45399, 0, 206, 0.00, 03-Jun-2024 16:00:00
90234, 45457, 35627, 437, 81.53, 03-Jun-2024 16:00:00
90234, 45511, 0, 1662, 0.00, 03-Jun-2024 16:00:00
90234, 45512, 3, 29103, 0.00, 03-Jun-2024 16:00:00
90234, 45513, 16285, 289, 56.35, 03-Jun-2024 16:00:00
90234, 45514, 6, 7744, 0.00, 03-Jun-2024 16:00:00
90234, 45515, 0, 474, 0.00, 03-Jun-2024 16:00:00
90234, 45517, 16669, 493, 33.81, 03-Jun-2024 16:00:00
90234, 45518, 0, 481, 0.00, 03-Jun-2024 16:00:00
90234, 45621, 0, 115, 0.00, 03-Jun-2024 16:00:00
90234, 45624, 4, 16034, 0.00, 03-Jun-2024 16:00:00
90234, 45637, 107, 1053, 0.10, 03-Jun-2024 16:00:00
90234, 45640, 0, 495, 0.00, 03-Jun-2024 16:00:00
90234, 45641, 0, 490, 0.00, 03-Jun-2024 16:00:00
90234, 45642, 0, 488, 0.00, 03-Jun-2024 16:00:00
90234, 45695, 14941, 292, 51.17, 03-Jun-2024 16:00:00
90234, 45696, 4980, 3920, 1.27, 03-Jun-2024 16:00:00
90234, 45908, 0, 825, 0.00, 03-Jun-2024 16:00:00
90234, 45927, 31, 125, 0.25, 03-Jun-2024 16:00:00
90234, 45963, 80, 1446, 0.06, 03-Jun-2024 16:00:00
90234, 45964, 3, 28260, 0.00, 03-Jun-2024 16:00:00
90234, 45965, 20360, 283, 71.94, 03-Jun-2024 16:00:00
90234, 45966, 26, 36, 0.72, 03-Jun-2024 16:00:00
90234, 45967, 3, 8245, 0.00, 03-Jun-2024 16:00:00
90234, 45968, 15, 629, 0.02, 03-Jun-2024 16:00:00
90234, 45969, 4, 17226, 0.00, 03-Jun-2024 16:00:00
90234, 46026, 0, 65, 0.00, 03-Jun-2024 16:00:00
90234, 46112, 80, 5207, 0.02, 03-Jun-2024 16:00:00
90234, 46113, 123, 12359, 0.01, 03-Jun-2024 16:00:00
90234, 46392, 0, 7200, 0.00, 03-Jun-2024 16:00:00
90234, 46548, 0, 5432, 0.00, 03-Jun-2024 16:00:00
90234, 46549, 0, 74, 0.00, 03-Jun-2024 16:00:00
90234, 47071, 111, 1484, 0.07, 03-Jun-2024 16:00:00
90234, 47311, 29, 141, 0.21, 03-Jun-2024 16:00:00
90234, 47373, 398, 312, 1.28, 03-Jun-2024 16:00:00
90234, 47508, 15641, 525, 29.79, 03-Jun-2024 16:00:00
90234, 48822, 0, 340, 0.00, 03-Jun-2024 16:00:00
90234, 48828, 47521, 422, 112.61, 03-Jun-2024 16:00:00
90234, 48880, 2496, 838, 2.98, 03-Jun-2024 16:00:00
90234, 49061, 0, 1790, 0.00, 03-Jun-2024 16:00:00
90234, 49550, 5, 319, 0.02, 03-Jun-2024 16:00:00
90234, 49552, 0, 251, 0.00, 03-Jun-2024 16:00:00
90234, 49553, 0, 285, 0.00, 03-Jun-2024 16:00:00
90234, 49554, 0, 267, 0.00, 03-Jun-2024 16:00:00
90234, 49556, 2, 18116, 0.00, 03-Jun-2024 16:00:00
90234, 49557, 3, 14624, 0.00, 03-Jun-2024 16:00:00
90234, 49559, 3, 14654, 0.00, 03-Jun-2024 16:00:00
90234, 49566, 1, 28, 0.04, 03-Jun-2024 16:00:00
90234, 49595, 17028, 2550, 6.68, 03-Jun-2024 16:00:00
90234, 49596, 18642, 2505, 7.44, 03-Jun-2024 16:00:00
90234, 49598, 16586, 485, 34.20, 03-Jun-2024 16:00:00
90234, 49599, 16568, 484, 34.23, 03-Jun-2024 16:00:00
90234, 49600, 19477, 533, 36.54, 03-Jun-2024 16:00:00
90234, 49601, 19442, 553, 35.16, 03-Jun-2024 16:00:00
90234, 49603, 6, 25427, 0.00, 03-Jun-2024 16:00:00
90234, 49604, 16008, 497, 32.21, 03-Jun-2024 16:00:00
90234, 49605, 5, 18473, 0.00, 03-Jun-2024 16:00:00
90234, 49606, 19903, 535, 37.20, 03-Jun-2024 16:00:00
90234, 51285, 357, 499, 0.72, 03-Jun-2024 16:00:00
90234, 51286, 250, 506, 0.49, 03-Jun-2024 16:00:00
90234, 51287, 358, 514, 0.70, 03-Jun-2024 16:00:00
90234, 51288, 397, 526, 0.75, 03-Jun-2024 16:00:00
90234, 51289, 362, 493, 0.73, 03-Jun-2024 16:00:00
90234, 51290, 222, 514, 0.43, 03-Jun-2024 16:00:00
90234, 51560, 70, 2877, 0.02, 03-Jun-2024 16:00:00
90234, 51708, 0, 5473, 0.00, 03-Jun-2024 16:00:00
90234, 51709, 0, 5522, 0.00, 03-Jun-2024 16:00:00
90234, 51729, 9, 4139, 0.00, 03-Jun-2024 16:00:00
90234, 51815, 321, 467, 0.69, 03-Jun-2024 16:00:00
90234, 51856, 1534, 826, 1.86, 03-Jun-2024 16:00:00
90234, 52109, 51, 8634, 0.01, 03-Jun-2024 16:00:00
90234, 52224, 274135, 368, 744.93, 03-Jun-2024 16:00:00
90234, 52225, 5, 52, 0.10, 03-Jun-2024 16:00:00
90234, 52226, 0, 1827, 0.00, 03-Jun-2024 16:00:00
90234, 52773, 1395, 248, 5.63, 03-Jun-2024 16:00:00
90234, 52827, 239, 524, 0.46, 03-Jun-2024 16:00:00
90234, 52839, 1343, 230, 5.84, 03-Jun-2024 16:00:00
90234, 52858, 2492, 452, 5.51, 03-Jun-2024 16:00:00
90234, 52869, 1, 10, 0.10, 03-Jun-2024 16:00:00
90234, 52888, 0, 3022, 0.00, 03-Jun-2024 16:00:00
90234, 52920, 3738, 287, 13.02, 03-Jun-2024 16:00:00
90234, 52926, 2844, 433, 6.57, 03-Jun-2024 16:00:00
90234, 52927, 2163, 451, 4.80, 03-Jun-2024 16:00:00
90234, 52930, 3804, 287, 13.25, 03-Jun-2024 16:00:00
90234, 52931, 3904, 597, 6.54, 03-Jun-2024 16:00:00
90234, 52932, 4091, 596, 6.86, 03-Jun-2024 16:00:00
90234, 52950, 2269, 452, 5.02, 03-Jun-2024 16:00:00
90234, 53120, 7, 15602, 0.00, 03-Jun-2024 16:00:00
90234, 53162, 71, 9004, 0.01, 03-Jun-2024 16:00:00
90234, 53339, 0, 546, 0.00, 03-Jun-2024 16:00:00
90234, 53362, 132, 1429, 0.09, 03-Jun-2024 16:00:00
90234, 53369, 0, 2122, 0.00, 03-Jun-2024 16:00:00
90234, 53400, 53, 5831, 0.01, 03-Jun-2024 16:00:00
90234, 53415, 5, 16480, 0.00, 03-Jun-2024 16:00:00
90234, 53822, 70, 143, 0.49, 03-Jun-2024 16:00:00
90234, 53912, 0, 1143, 0.00, 03-Jun-2024 16:00:00
90234, 53980, 0, 1548, 0.00, 03-Jun-2024 16:00:00
90234, 53981, 1, 25551, 0.00, 03-Jun-2024 16:00:00
90234, 53982, 6, 11943, 0.00, 03-Jun-2024 16:00:00
90234, 53991, 85, 1643, 0.05, 03-Jun-2024 16:00:00
