BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 9, 702, 0.01, 27-May-2024 16:00:00
90234, 44213, 17, 328, 0.05, 27-May-2024 16:00:00
90234, 44450, 0, 4441, 0.00, 27-May-2024 16:00:00
90234, 44451, 0, 4195, 0.00, 27-May-2024 16:00:00
90234, 44452, 240, 973, 0.25, 27-May-2024 16:00:00
90234, 44453, 0, 1693, 0.00, 27-May-2024 16:00:00
90234, 44454, 3, 24085, 0.00, 27-May-2024 16:00:00
90234, 44455, 4, 5694, 0.00, 27-May-2024 16:00:00
90234, 44498, 41, 1229, 0.03, 27-May-2024 16:00:00
90234, 44500, 0, 31437, 0.00, 27-May-2024 16:00:00
90234, 44579, 0, 3917, 0.00, 27-May-2024 16:00:00
90234, 44590, 0, 15820, 0.00, 27-May-2024 16:00:00
90234, 44593, 1, 3294, 0.00, 27-May-2024 16:00:00
90234, 44619, 4818, 252, 19.12, 27-May-2024 16:00:00
90234, 44787, 0, 293, 0.00, 27-May-2024 16:00:00
90234, 44789, 20, 2377, 0.01, 27-May-2024 16:00:00
90234, 44886, 12, 6655, 0.00, 27-May-2024 16:00:00
90234, 44888, 0, 918, 0.00, 27-May-2024 16:00:00
90234, 44892, 0, 33, 0.00, 27-May-2024 16:00:00
90234, 44911, 0, 27819, 0.00, 27-May-2024 16:00:00
90234, 44913, 0, 516, 0.00, 27-May-2024 16:00:00
90234, 44914, 0, 540, 0.00, 27-May-2024 16:00:00
90234, 44915, 0, 1443, 0.00, 27-May-2024 16:00:00
90234, 44920, 0, 7263, 0.00, 27-May-2024 16:00:00
90234, 44924, 104, 691, 0.15, 27-May-2024 16:00:00
90234, 44925, 331, 707, 0.47, 27-May-2024 16:00:00
90234, 44926, 317, 707, 0.45, 27-May-2024 16:00:00
90234, 44927, 1836, 267, 6.88, 27-May-2024 16:00:00
90234, 44938, 207, 910, 0.23, 27-May-2024 16:00:00
90234, 44949, 1772, 257, 6.89, 27-May-2024 16:00:00
90234, 44954, 239, 919, 0.26, 27-May-2024 16:00:00
90234, 44956, 0, 4378, 0.00, 27-May-2024 16:00:00
90234, 45145, 1835, 175, 10.49, 27-May-2024 16:00:00
90234, 45146, 0, 2761, 0.00, 27-May-2024 16:00:00
90234, 45148, 3, 14535, 0.00, 27-May-2024 16:00:00
90234, 45149, 0, 28168, 0.00, 27-May-2024 16:00:00
90234, 45150, 0, 28302, 0.00, 27-May-2024 16:00:00
90234, 45151, 0, 100, 0.00, 27-May-2024 16:00:00
90234, 45160, 0, 100, 0.00, 27-May-2024 16:00:00
90234, 45161, 35850, 1032, 34.74, 27-May-2024 16:00:00
90234, 45162, 34498, 1027, 33.59, 27-May-2024 16:00:00
90234, 45163, 35085, 1076, 32.61, 27-May-2024 16:00:00
90234, 45164, 56058, 1821, 30.78, 27-May-2024 16:00:00
90234, 45165, 57841, 1700, 34.02, 27-May-2024 16:00:00
90234, 45166, 60650, 1505, 40.30, 27-May-2024 16:00:00
90234, 45167, 57061, 1709, 33.39, 27-May-2024 16:00:00
90234, 45174, 0, 53, 0.00, 27-May-2024 16:00:00
90234, 45184, 4854, 210, 23.11, 27-May-2024 16:00:00
90234, 45185, 13, 6516, 0.00, 27-May-2024 16:00:00
90234, 45187, 1686, 1108, 1.52, 27-May-2024 16:00:00
90234, 45189, 45, 1688, 0.03, 27-May-2024 16:00:00
90234, 45190, 58259, 1231, 47.33, 27-May-2024 16:00:00
90234, 45191, 4, 3888, 0.00, 27-May-2024 16:00:00
90234, 45193, 0, 4042, 0.00, 27-May-2024 16:00:00
90234, 45194, 4, 3901, 0.00, 27-May-2024 16:00:00
90234, 45196, 11, 637, 0.02, 27-May-2024 16:00:00
90234, 45198, 0, 4002, 0.00, 27-May-2024 16:00:00
90234, 45199, 0, 3114, 0.00, 27-May-2024 16:00:00
90234, 45250, 0, 28242, 0.00, 27-May-2024 16:00:00
90234, 45251, 0, 4143, 0.00, 27-May-2024 16:00:00
90234, 45252, 0, 4177, 0.00, 27-May-2024 16:00:00
90234, 45253, 0, 3075, 0.00, 27-May-2024 16:00:00
90234, 45256, 0, 1837, 0.00, 27-May-2024 16:00:00
90234, 45260, 1912, 1111, 1.72, 27-May-2024 16:00:00
90234, 45261, 0, 1776, 0.00, 27-May-2024 16:00:00
90234, 45262, 0, 3023, 0.00, 27-May-2024 16:00:00
90234, 45333, 8, 7112, 0.00, 27-May-2024 16:00:00
90234, 45334, 0, 1957, 0.00, 27-May-2024 16:00:00
90234, 45335, 0, 1951, 0.00, 27-May-2024 16:00:00
90234, 45357, 0, 4345, 0.00, 27-May-2024 16:00:00
90234, 45397, 0, 1975, 0.00, 27-May-2024 16:00:00
90234, 45398, 0, 1968, 0.00, 27-May-2024 16:00:00
90234, 45399, 0, 1987, 0.00, 27-May-2024 16:00:00
90234, 45457, 57739, 1556, 37.11, 27-May-2024 16:00:00
90234, 45511, 0, 4250, 0.00, 27-May-2024 16:00:00
90234, 45512, 3, 12211, 0.00, 27-May-2024 16:00:00
90234, 45514, 0, 17282, 0.00, 27-May-2024 16:00:00
90234, 45515, 0, 1620, 0.00, 27-May-2024 16:00:00
90234, 45516, 0, 5614, 0.00, 27-May-2024 16:00:00
90234, 45517, 2190, 1154, 1.90, 27-May-2024 16:00:00
90234, 45518, 0, 1626, 0.00, 27-May-2024 16:00:00
90234, 45624, 1, 8421, 0.00, 27-May-2024 16:00:00
90234, 45637, 35, 2484, 0.01, 27-May-2024 16:00:00
90234, 45640, 0, 1608, 0.00, 27-May-2024 16:00:00
90234, 45641, 0, 1604, 0.00, 27-May-2024 16:00:00
90234, 45642, 0, 1623, 0.00, 27-May-2024 16:00:00
90234, 45695, 52974, 1211, 43.74, 27-May-2024 16:00:00
