BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 13, 1077, 0.01, 21-Jun-2024 16:00:00
90234, 44213, 19, 650, 0.03, 21-Jun-2024 16:00:00
90234, 44450, 0, 5775, 0.00, 21-Jun-2024 16:00:00
90234, 44451, 0, 1486, 0.00, 21-Jun-2024 16:00:00
90234, 44452, 268, 488, 0.55, 21-Jun-2024 16:00:00
90234, 44453, 0, 1131, 0.00, 21-Jun-2024 16:00:00
90234, 44454, 1, 6517, 0.00, 21-Jun-2024 16:00:00
90234, 44455, 0, 5173, 0.00, 21-Jun-2024 16:00:00
90234, 44498, 516, 1205, 0.43, 21-Jun-2024 16:00:00
90234, 44500, 0, 6343, 0.00, 21-Jun-2024 16:00:00
90234, 44579, 0, 2571, 0.00, 21-Jun-2024 16:00:00
90234, 44590, 0, 13456, 0.00, 21-Jun-2024 16:00:00
90234, 44593, 0, 554, 0.00, 21-Jun-2024 16:00:00
90234, 44619, 4526, 267, 16.95, 21-Jun-2024 16:00:00
90234, 44787, 0, 663, 0.00, 21-Jun-2024 16:00:00
90234, 44789, 5, 2892, 0.00, 21-Jun-2024 16:00:00
90234, 44886, 13, 8280, 0.00, 21-Jun-2024 16:00:00
90234, 44888, 0, 1784, 0.00, 21-Jun-2024 16:00:00
90234, 44892, 0, 509, 0.00, 21-Jun-2024 16:00:00
90234, 44911, 0, 6555, 0.00, 21-Jun-2024 16:00:00
90234, 44913, 0, 1248, 0.00, 21-Jun-2024 16:00:00
90234, 44914, 0, 1315, 0.00, 21-Jun-2024 16:00:00
90234, 44916, 12, 19, 0.63, 21-Jun-2024 16:00:00
90234, 44920, 0, 5012, 0.00, 21-Jun-2024 16:00:00
90234, 44924, 24, 572, 0.04, 21-Jun-2024 16:00:00
90234, 44925, 216, 580, 0.37, 21-Jun-2024 16:00:00
90234, 44926, 29, 520, 0.06, 21-Jun-2024 16:00:00
90234, 44927, 733, 262, 2.80, 21-Jun-2024 16:00:00
90234, 44938, 253, 487, 0.52, 21-Jun-2024 16:00:00
90234, 44949, 372, 254, 1.46, 21-Jun-2024 16:00:00
90234, 44953, 0, 92, 0.00, 21-Jun-2024 16:00:00
90234, 44954, 263, 485, 0.54, 21-Jun-2024 16:00:00
90234, 44956, 0, 5819, 0.00, 21-Jun-2024 16:00:00
90234, 45145, 800, 228, 3.51, 21-Jun-2024 16:00:00
90234, 45146, 0, 216, 0.00, 21-Jun-2024 16:00:00
90234, 45147, 0, 492, 0.00, 21-Jun-2024 16:00:00
90234, 45148, 0, 7632, 0.00, 21-Jun-2024 16:00:00
90234, 45149, 0, 6515, 0.00, 21-Jun-2024 16:00:00
90234, 45150, 0, 6404, 0.00, 21-Jun-2024 16:00:00
90234, 45151, 0, 183, 0.00, 21-Jun-2024 16:00:00
90234, 45160, 0, 181, 0.00, 21-Jun-2024 16:00:00
90234, 45161, 18508, 955, 19.38, 21-Jun-2024 16:00:00
90234, 45162, 16349, 885, 18.47, 21-Jun-2024 16:00:00
90234, 45163, 17679, 932, 18.97, 21-Jun-2024 16:00:00
90234, 45164, 22802, 1411, 16.16, 21-Jun-2024 16:00:00
90234, 45165, 24643, 1311, 18.80, 21-Jun-2024 16:00:00
90234, 45166, 20809, 1422, 14.63, 21-Jun-2024 16:00:00
90234, 45167, 22885, 1373, 16.67, 21-Jun-2024 16:00:00
90234, 45174, 0, 71, 0.00, 21-Jun-2024 16:00:00
90234, 45184, 4500, 258, 17.44, 21-Jun-2024 16:00:00
90234, 45185, 9, 9059, 0.00, 21-Jun-2024 16:00:00
90234, 45187, 3548, 1675, 2.12, 21-Jun-2024 16:00:00
90234, 45189, 436, 1570, 0.28, 21-Jun-2024 16:00:00
90234, 45190, 14916, 1179, 12.65, 21-Jun-2024 16:00:00
90234, 45191, 1, 1579, 0.00, 21-Jun-2024 16:00:00
90234, 45193, 0, 2657, 0.00, 21-Jun-2024 16:00:00
90234, 45194, 0, 1453, 0.00, 21-Jun-2024 16:00:00
90234, 45196, 17, 901, 0.02, 21-Jun-2024 16:00:00
90234, 45198, 0, 2637, 0.00, 21-Jun-2024 16:00:00
90234, 45199, 0, 1995, 0.00, 21-Jun-2024 16:00:00
90234, 45250, 0, 6380, 0.00, 21-Jun-2024 16:00:00
90234, 45251, 0, 985, 0.00, 21-Jun-2024 16:00:00
90234, 45252, 0, 1011, 0.00, 21-Jun-2024 16:00:00
90234, 45253, 0, 2008, 0.00, 21-Jun-2024 16:00:00
90234, 45256, 0, 571, 0.00, 21-Jun-2024 16:00:00
90234, 45260, 3914, 1721, 2.27, 21-Jun-2024 16:00:00
90234, 45261, 0, 521, 0.00, 21-Jun-2024 16:00:00
90234, 45262, 0, 1997, 0.00, 21-Jun-2024 16:00:00
90234, 45333, 17, 9195, 0.00, 21-Jun-2024 16:00:00
90234, 45334, 0, 366, 0.00, 21-Jun-2024 16:00:00
90234, 45335, 0, 364, 0.00, 21-Jun-2024 16:00:00
90234, 45357, 0, 5793, 0.00, 21-Jun-2024 16:00:00
90234, 45397, 0, 358, 0.00, 21-Jun-2024 16:00:00
90234, 45398, 0, 372, 0.00, 21-Jun-2024 16:00:00
90234, 45399, 0, 372, 0.00, 21-Jun-2024 16:00:00
90234, 45457, 18954, 1445, 13.12, 21-Jun-2024 16:00:00
90234, 45511, 0, 2462, 0.00, 21-Jun-2024 16:00:00
90234, 45512, 0, 4583, 0.00, 21-Jun-2024 16:00:00
90234, 45515, 0, 1056, 0.00, 21-Jun-2024 16:00:00
90234, 45517, 4081, 1439, 2.84, 21-Jun-2024 16:00:00
90234, 45518, 0, 1055, 0.00, 21-Jun-2024 16:00:00
90234, 45621, 0, 61, 0.00, 21-Jun-2024 16:00:00
90234, 45624, 0, 7267, 0.00, 21-Jun-2024 16:00:00
90234, 45637, 29, 3478, 0.01, 21-Jun-2024 16:00:00
90234, 45640, 0, 1076, 0.00, 21-Jun-2024 16:00:00
90234, 45641, 0, 1072, 0.00, 21-Jun-2024 16:00:00
90234, 45642, 0, 1093, 0.00, 21-Jun-2024 16:00:00
90234, 45695, 10764, 1208, 8.91, 21-Jun-2024 16:00:00
90234, 45696, 11905, 1992, 5.98, 21-Jun-2024 16:00:00
90234, 45908, 0, 395, 0.00, 21-Jun-2024 16:00:00
90234, 45927, 7, 220, 0.03, 21-Jun-2024 16:00:00
90234, 45963, 110, 2467, 0.04, 21-Jun-2024 16:00:00
90234, 45964, 0, 4248, 0.00, 21-Jun-2024 16:00:00
90234, 45965, 14622, 1250, 11.70, 21-Jun-2024 16:00:00
90234, 45966, 20, 105, 0.19, 21-Jun-2024 16:00:00
90234, 45967, 0, 8337, 0.00, 21-Jun-2024 16:00:00
90234, 45968, 1, 739, 0.00, 21-Jun-2024 16:00:00
90234, 45969, 1, 1734, 0.00, 21-Jun-2024 16:00:00
90234, 46025, 0, 85, 0.00, 21-Jun-2024 16:00:00
90234, 46112, 0, 795, 0.00, 21-Jun-2024 16:00:00
90234, 46113, 1, 398, 0.00, 21-Jun-2024 16:00:00
90234, 46392, 0, 10183, 0.00, 21-Jun-2024 16:00:00
90234, 46548, 0, 1119, 0.00, 21-Jun-2024 16:00:00
90234, 46549, 3, 36, 0.08, 21-Jun-2024 16:00:00
90234, 47071, 12, 1973, 0.01, 21-Jun-2024 16:00:00
90234, 47311, 23, 293, 0.08, 21-Jun-2024 16:00:00
90234, 47373, 2432, 1688, 1.44, 21-Jun-2024 16:00:00
90234, 47508, 4542, 1449, 3.13, 21-Jun-2024 16:00:00
90234, 48828, 22244, 1503, 14.80, 21-Jun-2024 16:00:00
90234, 48880, 884, 240, 3.68, 21-Jun-2024 16:00:00
90234, 49550, 549, 346, 1.59, 21-Jun-2024 16:00:00
90234, 49552, 464, 348, 1.33, 21-Jun-2024 16:00:00
90234, 49553, 441, 371, 1.19, 21-Jun-2024 16:00:00
90234, 49554, 511, 341, 1.50, 21-Jun-2024 16:00:00
90234, 49556, 0, 4384, 0.00, 21-Jun-2024 16:00:00
90234, 49557, 0, 4366, 0.00, 21-Jun-2024 16:00:00
90234, 49559, 0, 4067, 0.00, 21-Jun-2024 16:00:00
90234, 49566, 373, 297, 1.26, 21-Jun-2024 16:00:00
90234, 49567, 0, 46, 0.00, 21-Jun-2024 16:00:00
90234, 49595, 5007, 4386, 1.14, 21-Jun-2024 16:00:00
90234, 49596, 4397, 4387, 1.00, 21-Jun-2024 16:00:00
90234, 49598, 4064, 1409, 2.88, 21-Jun-2024 16:00:00
90234, 49599, 4227, 1499, 2.82, 21-Jun-2024 16:00:00
90234, 49600, 3773, 1696, 2.22, 21-Jun-2024 16:00:00
90234, 49601, 3841, 1664, 2.31, 21-Jun-2024 16:00:00
90234, 49604, 4245, 1408, 3.01, 21-Jun-2024 16:00:00
90234, 49605, 0, 3693, 0.00, 21-Jun-2024 16:00:00
90234, 49606, 3657, 1683, 2.17, 21-Jun-2024 16:00:00
90234, 51285, 42, 444, 0.09, 21-Jun-2024 16:00:00
90234, 51286, 8, 445, 0.02, 21-Jun-2024 16:00:00
90234, 51287, 0, 430, 0.00, 21-Jun-2024 16:00:00
90234, 51288, 11, 437, 0.03, 21-Jun-2024 16:00:00
90234, 51289, 167, 433, 0.39, 21-Jun-2024 16:00:00
90234, 51290, 229, 412, 0.56, 21-Jun-2024 16:00:00
90234, 51708, 0, 1090, 0.00, 21-Jun-2024 16:00:00
90234, 51709, 0, 1103, 0.00, 21-Jun-2024 16:00:00
90234, 51727, 0, 1198, 0.00, 21-Jun-2024 16:00:00
90234, 51729, 0, 2364, 0.00, 21-Jun-2024 16:00:00
90234, 51815, 176, 427, 0.41, 21-Jun-2024 16:00:00
90234, 51855, 0, 5520, 0.00, 21-Jun-2024 16:00:00
90234, 51856, 6, 5248, 0.00, 21-Jun-2024 16:00:00
90234, 52109, 0, 127, 0.00, 21-Jun-2024 16:00:00
90234, 52198, 0, 3243, 0.00, 21-Jun-2024 16:00:00
90234, 52224, 326902, 1072, 304.95, 21-Jun-2024 16:00:00
90234, 52226, 0, 1173, 0.00, 21-Jun-2024 16:00:00
90234, 52773, 5143, 885, 5.81, 21-Jun-2024 16:00:00
90234, 52839, 4473, 855, 5.23, 21-Jun-2024 16:00:00
90234, 52858, 15271, 1820, 8.39, 21-Jun-2024 16:00:00
90234, 52860, 0, 1210, 0.00, 21-Jun-2024 16:00:00
90234, 52869, 37, 137, 0.27, 21-Jun-2024 16:00:00
90234, 52920, 7474, 447, 16.72, 21-Jun-2024 16:00:00
90234, 52926, 5262, 515, 10.22, 21-Jun-2024 16:00:00
90234, 52927, 3323, 458, 7.26, 21-Jun-2024 16:00:00
90234, 52930, 7542, 433, 17.42, 21-Jun-2024 16:00:00
90234, 52931, 2790, 321, 8.69, 21-Jun-2024 16:00:00
90234, 52932, 2726, 340, 8.02, 21-Jun-2024 16:00:00
90234, 52950, 3457, 461, 7.50, 21-Jun-2024 16:00:00
90234, 53120, 0, 2811, 0.00, 21-Jun-2024 16:00:00
90234, 53162, 0, 4469, 0.00, 21-Jun-2024 16:00:00
90234, 53339, 6, 4450, 0.00, 21-Jun-2024 16:00:00
90234, 53362, 28, 2368, 0.01, 21-Jun-2024 16:00:00
90234, 53369, 0, 2765, 0.00, 21-Jun-2024 16:00:00
90234, 53400, 24455, 2512, 9.74, 21-Jun-2024 16:00:00
90234, 53415, 0, 2930, 0.00, 21-Jun-2024 16:00:00
90234, 53707, 0, 50, 0.00, 21-Jun-2024 16:00:00
90234, 53822, 49, 364, 0.13, 21-Jun-2024 16:00:00
90234, 53912, 0, 231, 0.00, 21-Jun-2024 16:00:00
90234, 53980, 0, 2582, 0.00, 21-Jun-2024 16:00:00
90234, 53981, 0, 2600, 0.00, 21-Jun-2024 16:00:00
90234, 53982, 0, 5, 0.00, 21-Jun-2024 16:00:00
90234, 53991, 0, 120, 0.00, 21-Jun-2024 16:00:00
90234, 53992, 0, 430, 0.00, 21-Jun-2024 16:00:00
90234, 53993, 0, 678, 0.00, 21-Jun-2024 16:00:00
90234, 54124, 244, 418, 0.58, 21-Jun-2024 16:00:00
90234, 54125, 0, 2386, 0.00, 21-Jun-2024 16:00:00
90234, 54126, 14, 570, 0.02, 21-Jun-2024 16:00:00
90234, 54127, 159, 565, 0.28, 21-Jun-2024 16:00:00
90234, 54128, 0, 458, 0.00, 21-Jun-2024 16:00:00
90234, 54130, 0, 398, 0.00, 21-Jun-2024 16:00:00
90234, 54340, 0, 10, 0.00, 21-Jun-2024 16:00:00
90234, 54350, 44, 886, 0.05, 21-Jun-2024 16:00:00
90234, 54477, 1955, 459, 4.26, 21-Jun-2024 16:00:00
90234, 54478, 2357, 441, 5.34, 21-Jun-2024 16:00:00
90234, 54480, 1237, 456, 2.71, 21-Jun-2024 16:00:00
90234, 54493, 1150, 444, 2.59, 21-Jun-2024 16:00:00
90234, 54582, 0, 154, 0.00, 21-Jun-2024 16:00:00
90234, 54585, 0, 2005, 0.00, 21-Jun-2024 16:00:00
90234, 54622, 0, 564, 0.00, 21-Jun-2024 16:00:00
90234, 55292, 0, 125, 0.00, 21-Jun-2024 16:00:00
90234, Total, 722017, 348916, 2.07, 21-Jun-2024 16:00:00
