BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 3, 448, 0.01, 30-May-2024 16:00:00
90234, 44213, 28, 330, 0.08, 30-May-2024 16:00:00
90234, 44450, 0, 802, 0.00, 30-May-2024 16:00:00
90234, 44451, 0, 679, 0.00, 30-May-2024 16:00:00
90234, 44452, 201, 651, 0.31, 30-May-2024 16:00:00
90234, 44453, 0, 66, 0.00, 30-May-2024 16:00:00
90234, 44454, 0, 1570, 0.00, 30-May-2024 16:00:00
90234, 44455, 9, 3338, 0.00, 30-May-2024 16:00:00
90234, 44498, 440, 735, 0.60, 30-May-2024 16:00:00
90234, 44500, 0, 30464, 0.00, 30-May-2024 16:00:00
90234, 44579, 0, 2188, 0.00, 30-May-2024 16:00:00
90234, 44590, 0, 18827, 0.00, 30-May-2024 16:00:00
90234, 44593, 5, 2286, 0.00, 30-May-2024 16:00:00
90234, 44619, 4792, 1140, 4.20, 30-May-2024 16:00:00
90234, 44787, 0, 2169, 0.00, 30-May-2024 16:00:00
90234, 44789, 249, 4100, 0.06, 30-May-2024 16:00:00
90234, 44886, 1, 3900, 0.00, 30-May-2024 16:00:00
90234, 44888, 0, 565, 0.00, 30-May-2024 16:00:00
90234, 44892, 0, 383, 0.00, 30-May-2024 16:00:00
90234, 44911, 1, 1549, 0.00, 30-May-2024 16:00:00
90234, 44913, 0, 58, 0.00, 30-May-2024 16:00:00
90234, 44914, 0, 50, 0.00, 30-May-2024 16:00:00
90234, 44915, 1456, 1984, 0.73, 30-May-2024 16:00:00
90234, 44920, 0, 3564, 0.00, 30-May-2024 16:00:00
90234, 44924, 728, 2447, 0.30, 30-May-2024 16:00:00
90234, 44925, 410, 2335, 0.18, 30-May-2024 16:00:00
90234, 44926, 460, 1477, 0.31, 30-May-2024 16:00:00
90234, 44927, 774, 412, 1.88, 30-May-2024 16:00:00
90234, 44938, 198, 703, 0.28, 30-May-2024 16:00:00
90234, 44949, 584, 424, 1.38, 30-May-2024 16:00:00
90234, 44954, 193, 675, 0.29, 30-May-2024 16:00:00
90234, 44956, 0, 855, 0.00, 30-May-2024 16:00:00
90234, 44957, 0, 23508, 0.00, 30-May-2024 16:00:00
90234, 45145, 6923, 1660, 4.17, 30-May-2024 16:00:00
90234, 45146, 2, 11922, 0.00, 30-May-2024 16:00:00
90234, 45148, 0, 45424, 0.00, 30-May-2024 16:00:00
90234, 45149, 0, 1531, 0.00, 30-May-2024 16:00:00
90234, 45150, 4, 1546, 0.00, 30-May-2024 16:00:00
90234, 45151, 0, 503, 0.00, 30-May-2024 16:00:00
90234, 45160, 0, 549, 0.00, 30-May-2024 16:00:00
90234, 45161, 152268, 767, 198.52, 30-May-2024 16:00:00
90234, 45162, 134313, 747, 179.80, 30-May-2024 16:00:00
90234, 45163, 139523, 774, 180.26, 30-May-2024 16:00:00
