BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 21, 343, 0.06, 31-May-2024 16:00:00
90234, 44213, 2, 78, 0.03, 31-May-2024 16:00:00
90234, 44450, 0, 4119, 0.00, 31-May-2024 16:00:00
90234, 44451, 0, 10, 0.00, 31-May-2024 16:00:00
90234, 44452, 156, 793, 0.20, 31-May-2024 16:00:00
90234, 44453, 0, 84, 0.00, 31-May-2024 16:00:00
90234, 44454, 0, 2302, 0.00, 31-May-2024 16:00:00
90234, 44455, 0, 41, 0.00, 31-May-2024 16:00:00
90234, 44498, 96, 340, 0.28, 31-May-2024 16:00:00
90234, 44500, 0, 0, 0.00, 31-May-2024 16:00:00
90234, 44579, 0, 289, 0.00, 31-May-2024 16:00:00
90234, 44590, 0, 10964, 0.00, 31-May-2024 16:00:00
90234, 44593, 0, 433, 0.00, 31-May-2024 16:00:00
90234, 44619, 825, 147, 5.61, 31-May-2024 16:00:00
90234, 44787, 1, 2995, 0.00, 31-May-2024 16:00:00
90234, 44789, 13, 83, 0.16, 31-May-2024 16:00:00
90234, 44886, 5, 1461, 0.00, 31-May-2024 16:00:00
90234, 44888, 2, 2323, 0.00, 31-May-2024 16:00:00
90234, 44892, 0, 212, 0.00, 31-May-2024 16:00:00
90234, 44911, 0, 1061, 0.00, 31-May-2024 16:00:00
90234, 44913, 0, 136, 0.00, 31-May-2024 16:00:00
90234, 44914, 0, 133, 0.00, 31-May-2024 16:00:00
90234, 44915, 0, 569, 0.00, 31-May-2024 16:00:00
90234, 44920, 0, 3584, 0.00, 31-May-2024 16:00:00
90234, 44924, 0, 548, 0.00, 31-May-2024 16:00:00
90234, 44925, 1, 550, 0.00, 31-May-2024 16:00:00
90234, 44926, 0, 571, 0.00, 31-May-2024 16:00:00
90234, 44927, 595, 227, 2.62, 31-May-2024 16:00:00
90234, 44938, 151, 768, 0.20, 31-May-2024 16:00:00
90234, 44949, 447, 225, 1.99, 31-May-2024 16:00:00
90234, 44954, 130, 733, 0.18, 31-May-2024 16:00:00
90234, 44956, 0, 3996, 0.00, 31-May-2024 16:00:00
90234, 45145, 2115, 381, 5.55, 31-May-2024 16:00:00
