BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 20, 436, 0.05, 08-May-2024 16:00:00
90234, 44213, 5, 229, 0.02, 08-May-2024 16:00:00
90234, 44450, 0, 5643, 0.00, 08-May-2024 16:00:00
90234, 44451, 0, 32925, 0.00, 08-May-2024 16:00:00
90234, 44452, 0, 125, 0.00, 08-May-2024 16:00:00
90234, 44453, 28, 211, 0.13, 08-May-2024 16:00:00
90234, 44454, 0, 56698, 0.00, 08-May-2024 16:00:00
90234, 44455, 19, 1033, 0.02, 08-May-2024 16:00:00
90234, 44498, 211265, 328, 644.10, 08-May-2024 16:00:00
90234, 44500, 0, 61653, 0.00, 08-May-2024 16:00:00
90234, 44579, 0, 14390, 0.00, 08-May-2024 16:00:00
90234, 44590, 0, 32582, 0.00, 08-May-2024 16:00:00
90234, 44593, 0, 12038, 0.00, 08-May-2024 16:00:00
90234, 44619, 1089, 103, 10.57, 08-May-2024 16:00:00
90234, 44787, 0, 1585, 0.00, 08-May-2024 16:00:00
90234, 44789, 8, 673, 0.01, 08-May-2024 16:00:00
90234, 44886, 34, 3083, 0.01, 08-May-2024 16:00:00
90234, 44888, 0, 2732, 0.00, 08-May-2024 16:00:00
90234, 44892, 0, 668, 0.00, 08-May-2024 16:00:00
90234, 44911, 0, 638, 0.00, 08-May-2024 16:00:00
90234, 44913, 0, 1100, 0.00, 08-May-2024 16:00:00
90234, 44914, 0, 1132, 0.00, 08-May-2024 16:00:00
90234, 44915, 0, 2936, 0.00, 08-May-2024 16:00:00
90234, 44920, 0, 9386, 0.00, 08-May-2024 16:00:00
90234, 44924, 90, 379, 0.24, 08-May-2024 16:00:00
90234, 44925, 108, 428, 0.25, 08-May-2024 16:00:00
90234, 44926, 103, 371, 0.28, 08-May-2024 16:00:00
90234, 44927, 811, 104, 7.80, 08-May-2024 16:00:00
90234, 44949, 658, 146, 4.51, 08-May-2024 16:00:00
90234, 44956, 0, 5535, 0.00, 08-May-2024 16:00:00
90234, 45145, 1690, 609, 2.78, 08-May-2024 16:00:00
90234, 45146, 0, 14320, 0.00, 08-May-2024 16:00:00
90234, 45148, 0, 75757, 0.00, 08-May-2024 16:00:00
90234, 45149, 0, 695, 0.00, 08-May-2024 16:00:00
90234, 45150, 0, 711, 0.00, 08-May-2024 16:00:00
90234, 45151, 0, 605, 0.00, 08-May-2024 16:00:00
90234, 45160, 0, 659, 0.00, 08-May-2024 16:00:00
90234, 45161, 30793, 177, 173.97, 08-May-2024 16:00:00
90234, 45162, 29515, 167, 176.74, 08-May-2024 16:00:00
90234, 45163, 28390, 185, 153.46, 08-May-2024 16:00:00
90234, 45164, 41138, 217, 189.58, 08-May-2024 16:00:00
90234, 45165, 41899, 246, 170.32, 08-May-2024 16:00:00
90234, 45166, 40309, 221, 182.39, 08-May-2024 16:00:00
90234, 45167, 40649, 252, 161.31, 08-May-2024 16:00:00
90234, 45184, 1092, 93, 11.74, 08-May-2024 16:00:00
90234, 45185, 21, 1811, 0.01, 08-May-2024 16:00:00
90234, 45187, 4388, 322, 13.63, 08-May-2024 16:00:00
90234, 45189, 42, 458, 0.09, 08-May-2024 16:00:00
90234, 45190, 37845, 279, 135.65, 08-May-2024 16:00:00
90234, 45191, 0, 5513, 0.00, 08-May-2024 16:00:00
90234, 45193, 0, 5272, 0.00, 08-May-2024 16:00:00
90234, 45194, 0, 9058, 0.00, 08-May-2024 16:00:00
90234, 45196, 20, 292, 0.07, 08-May-2024 16:00:00
90234, 45198, 0, 5285, 0.00, 08-May-2024 16:00:00
90234, 45199, 0, 8576, 0.00, 08-May-2024 16:00:00
90234, 45250, 0, 708, 0.00, 08-May-2024 16:00:00
90234, 45251, 0, 16419, 0.00, 08-May-2024 16:00:00
90234, 45252, 0, 16369, 0.00, 08-May-2024 16:00:00
90234, 45253, 0, 8610, 0.00, 08-May-2024 16:00:00
90234, 45256, 0, 908, 0.00, 08-May-2024 16:00:00
90234, 45257, 517, 488, 1.06, 08-May-2024 16:00:00
90234, 45260, 4683, 335, 13.98, 08-May-2024 16:00:00
90234, 45261, 0, 880, 0.00, 08-May-2024 16:00:00
90234, 45262, 0, 8568, 0.00, 08-May-2024 16:00:00
90234, 45267, 0, 8568, 0.00, 08-May-2024 16:00:00
90234, 45333, 3, 1736, 0.00, 08-May-2024 16:00:00
90234, 45334, 0, 12950, 0.00, 08-May-2024 16:00:00
90234, 45335, 0, 12969, 0.00, 08-May-2024 16:00:00
90234, 45357, 0, 5575, 0.00, 08-May-2024 16:00:00
90234, 45397, 0, 12953, 0.00, 08-May-2024 16:00:00
90234, 45398, 0, 12959, 0.00, 08-May-2024 16:00:00
90234, 45399, 0, 12950, 0.00, 08-May-2024 16:00:00
90234, 45457, 40751, 222, 183.56, 08-May-2024 16:00:00
90234, 45511, 0, 6606, 0.00, 08-May-2024 16:00:00
90234, 45512, 0, 52531, 0.00, 08-May-2024 16:00:00
90234, 45514, 0, 58836, 0.00, 08-May-2024 16:00:00
90234, 45515, 0, 2307, 0.00, 08-May-2024 16:00:00
90234, 45516, 0, 16150, 0.00, 08-May-2024 16:00:00
90234, 45517, 14582, 544, 26.81, 08-May-2024 16:00:00
90234, 45518, 0, 2310, 0.00, 08-May-2024 16:00:00
90234, 45624, 0, 9207, 0.00, 08-May-2024 16:00:00
90234, 45637, 36, 1714, 0.02, 08-May-2024 16:00:00
90234, 45640, 0, 2304, 0.00, 08-May-2024 16:00:00
90234, 45641, 0, 2306, 0.00, 08-May-2024 16:00:00
90234, 45642, 0, 2308, 0.00, 08-May-2024 16:00:00
90234, 45695, 34130, 273, 125.02, 08-May-2024 16:00:00
90234, 45696, 5691, 3758, 1.51, 08-May-2024 16:00:00
90234, 45908, 0, 521, 0.00, 08-May-2024 16:00:00
90234, 45927, 23, 232, 0.10, 08-May-2024 16:00:00
