BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 804, 1081, 0.74, 04-Jun-2024 16:00:00
90234, 44213, 244, 316, 0.77, 04-Jun-2024 16:00:00
90234, 44450, 0, 3487, 0.00, 04-Jun-2024 16:00:00
90234, 44451, 0, 40781, 0.00, 04-Jun-2024 16:00:00
90234, 44452, 541, 64683, 0.01, 04-Jun-2024 16:00:00
90234, 44453, 229, 11222, 0.02, 04-Jun-2024 16:00:00
90234, 44454, 343, 37962, 0.01, 04-Jun-2024 16:00:00
90234, 44455, 145, 1662, 0.09, 04-Jun-2024 16:00:00
90234, 44500, 17, 140470, 0.00, 04-Jun-2024 16:00:00
90234, 44579, 52, 21373, 0.00, 04-Jun-2024 16:00:00
90234, 44590, 7, 53415, 0.00, 04-Jun-2024 16:00:00
90234, 44593, 59, 22707, 0.00, 04-Jun-2024 16:00:00
90234, 44619, 51495, 1699, 30.31, 04-Jun-2024 16:00:00
90234, 44787, 67, 21474, 0.00, 04-Jun-2024 16:00:00
90234, 44789, 130, 1324, 0.10, 04-Jun-2024 16:00:00
90234, 44886, 970, 3986, 0.24, 04-Jun-2024 16:00:00
90234, 44888, 101, 10990, 0.01, 04-Jun-2024 16:00:00
90234, 44892, 274, 12069, 0.02, 04-Jun-2024 16:00:00
90234, 44911, 0, 184620, 0.00, 04-Jun-2024 16:00:00
90234, 44913, 0, 84, 0.00, 04-Jun-2024 16:00:00
90234, 44914, 0, 86, 0.00, 04-Jun-2024 16:00:00
90234, 44915, 2724, 2293, 1.19, 04-Jun-2024 16:00:00
90234, 44917, 195432, 1061, 184.20, 04-Jun-2024 16:00:00
90234, 44920, 0, 3914, 0.00, 04-Jun-2024 16:00:00
90234, 44924, 14062, 5607, 2.51, 04-Jun-2024 16:00:00
90234, 44925, 14714, 5493, 2.68, 04-Jun-2024 16:00:00
90234, 44926, 15126, 5538, 2.73, 04-Jun-2024 16:00:00
90234, 44927, 58173, 626, 92.93, 04-Jun-2024 16:00:00
90234, 44938, 507, 65400, 0.01, 04-Jun-2024 16:00:00
90234, 44949, 56247, 661, 85.09, 04-Jun-2024 16:00:00
90234, 44951, 61251, 699, 87.63, 04-Jun-2024 16:00:00
90234, 44953, 209, 2025, 0.10, 04-Jun-2024 16:00:00
90234, 44954, 500, 64822, 0.01, 04-Jun-2024 16:00:00
90234, 44956, 0, 3402, 0.00, 04-Jun-2024 16:00:00
90234, 44957, 1, 44831, 0.00, 04-Jun-2024 16:00:00
90234, 45145, 25603, 2171, 11.79, 04-Jun-2024 16:00:00
90234, 45146, 2124, 4262, 0.50, 04-Jun-2024 16:00:00
90234, 45148, 0, 96442, 0.00, 04-Jun-2024 16:00:00
90234, 45149, 0, 185517, 0.00, 04-Jun-2024 16:00:00
90234, 45150, 0, 185370, 0.00, 04-Jun-2024 16:00:00
90234, 45151, 14404, 1910, 7.54, 04-Jun-2024 16:00:00
90234, 45160, 15809, 1892, 8.36, 04-Jun-2024 16:00:00
90234, 45161, 304389, 894, 340.48, 04-Jun-2024 16:00:00
90234, 45162, 225510, 767, 294.02, 04-Jun-2024 16:00:00
90234, 45163, 232370, 798, 291.19, 04-Jun-2024 16:00:00
90234, 45164, 296525, 1057, 280.53, 04-Jun-2024 16:00:00
90234, 45165, 306495, 1020, 300.49, 04-Jun-2024 16:00:00
90234, 45166, 230977, 1050, 219.98, 04-Jun-2024 16:00:00
90234, 45167, 459589, 1230, 373.65, 04-Jun-2024 16:00:00
90234, 45177, 1, 44760, 0.00, 04-Jun-2024 16:00:00
90234, 45178, 0, 59604, 0.00, 04-Jun-2024 16:00:00
90234, 45183, 0, 59861, 0.00, 04-Jun-2024 16:00:00
90234, 45184, 52272, 1703, 30.69, 04-Jun-2024 16:00:00
90234, 45185, 317, 2837, 0.11, 04-Jun-2024 16:00:00
90234, 45187, 202315, 704, 287.38, 04-Jun-2024 16:00:00
90234, 45189, 1521, 2808, 0.54, 04-Jun-2024 16:00:00
90234, 45190, 201555, 1064, 189.43, 04-Jun-2024 16:00:00
90234, 45191, 117, 8821, 0.01, 04-Jun-2024 16:00:00
90234, 45193, 0, 1668, 0.00, 04-Jun-2024 16:00:00
90234, 45194, 381, 6529, 0.06, 04-Jun-2024 16:00:00
90234, 45196, 738, 864, 0.85, 04-Jun-2024 16:00:00
90234, 45198, 0, 1676, 0.00, 04-Jun-2024 16:00:00
90234, 45199, 0, 3263, 0.00, 04-Jun-2024 16:00:00
90234, 45200, 230362, 1084, 212.51, 04-Jun-2024 16:00:00
90234, 45250, 0, 185965, 0.00, 04-Jun-2024 16:00:00
90234, 45251, 0, 1514, 0.00, 04-Jun-2024 16:00:00
90234, 45252, 0, 1506, 0.00, 04-Jun-2024 16:00:00
90234, 45253, 0, 3236, 0.00, 04-Jun-2024 16:00:00
90234, 45256, 0, 166429, 0.00, 04-Jun-2024 16:00:00
90234, 45260, 201507, 700, 287.87, 04-Jun-2024 16:00:00
90234, 45261, 0, 166815, 0.00, 04-Jun-2024 16:00:00
90234, 45262, 0, 3213, 0.00, 04-Jun-2024 16:00:00
90234, 45332, 237610, 1081, 219.81, 04-Jun-2024 16:00:00
90234, 45333, 144, 2734, 0.05, 04-Jun-2024 16:00:00
90234, 45334, 0, 308, 0.00, 04-Jun-2024 16:00:00
90234, 45335, 0, 307, 0.00, 04-Jun-2024 16:00:00
90234, 45357, 0, 3451, 0.00, 04-Jun-2024 16:00:00
90234, 45397, 0, 370, 0.00, 04-Jun-2024 16:00:00
90234, 45398, 0, 360, 0.00, 04-Jun-2024 16:00:00
90234, 45399, 0, 317, 0.00, 04-Jun-2024 16:00:00
90234, 45457, 229435, 1104, 207.82, 04-Jun-2024 16:00:00
90234, 45511, 0, 2684, 0.00, 04-Jun-2024 16:00:00
90234, 45512, 5, 115001, 0.00, 04-Jun-2024 16:00:00
90234, 45513, 202507, 1036, 195.47, 04-Jun-2024 16:00:00
90234, 45514, 3, 99401, 0.00, 04-Jun-2024 16:00:00
90234, 45515, 0, 1180, 0.00, 04-Jun-2024 16:00:00
90234, 45516, 0, 436, 0.00, 04-Jun-2024 16:00:00
90234, 45517, 194939, 863, 225.89, 04-Jun-2024 16:00:00
90234, 45518, 0, 1163, 0.00, 04-Jun-2024 16:00:00
90234, 45621, 5, 217, 0.02, 04-Jun-2024 16:00:00
90234, 45624, 102, 41847, 0.00, 04-Jun-2024 16:00:00
90234, 45637, 2168, 3145, 0.69, 04-Jun-2024 16:00:00
90234, 45640, 0, 1164, 0.00, 04-Jun-2024 16:00:00
90234, 45641, 0, 1166, 0.00, 04-Jun-2024 16:00:00
90234, 45642, 0, 1167, 0.00, 04-Jun-2024 16:00:00
90234, 45695, 194157, 1054, 184.21, 04-Jun-2024 16:00:00
90234, 45696, 2715, 1318, 2.06, 04-Jun-2024 16:00:00
90234, 45908, 319, 6784, 0.05, 04-Jun-2024 16:00:00
90234, 45927, 392, 344, 1.14, 04-Jun-2024 16:00:00
90234, 45963, 1866, 4457, 0.42, 04-Jun-2024 16:00:00
90234, 45964, 152, 28424, 0.01, 04-Jun-2024 16:00:00
90234, 45965, 201961, 991, 203.80, 04-Jun-2024 16:00:00
90234, 45966, 225, 234, 0.96, 04-Jun-2024 16:00:00
90234, 45967, 18, 13375, 0.00, 04-Jun-2024 16:00:00
90234, 45968, 3, 22, 0.14, 04-Jun-2024 16:00:00
90234, 45969, 88, 102887, 0.00, 04-Jun-2024 16:00:00
90234, 46026, 1, 44925, 0.00, 04-Jun-2024 16:00:00
90234, 46112, 70, 3913, 0.02, 04-Jun-2024 16:00:00
90234, 46113, 71, 5204, 0.01, 04-Jun-2024 16:00:00
90234, 46392, 0, 8423, 0.00, 04-Jun-2024 16:00:00
90234, 46548, 0, 159356, 0.00, 04-Jun-2024 16:00:00
90234, 46549, 399, 184, 2.17, 04-Jun-2024 16:00:00
90234, 47071, 993, 2455, 0.40, 04-Jun-2024 16:00:00
90234, 47311, 615, 534, 1.15, 04-Jun-2024 16:00:00
90234, 47508, 193402, 890, 217.31, 04-Jun-2024 16:00:00
90234, 48822, 0, 39, 0.00, 04-Jun-2024 16:00:00
90234, 48828, 227061, 1082, 209.85, 04-Jun-2024 16:00:00
90234, 48880, 25760, 2100, 12.27, 04-Jun-2024 16:00:00
90234, 49061, 0, 1885, 0.00, 04-Jun-2024 16:00:00
90234, 49550, 61795, 1920, 32.18, 04-Jun-2024 16:00:00
90234, 49552, 34910, 1318, 26.49, 04-Jun-2024 16:00:00
90234, 49553, 37377, 1310, 28.53, 04-Jun-2024 16:00:00
90234, 49554, 36864, 1398, 26.37, 04-Jun-2024 16:00:00
90234, 49556, 0, 375131, 0.00, 04-Jun-2024 16:00:00
90234, 49557, 0, 376155, 0.00, 04-Jun-2024 16:00:00
90234, 49559, 0, 373247, 0.00, 04-Jun-2024 16:00:00
90234, 49566, 3102, 303, 10.24, 04-Jun-2024 16:00:00
90234, 49595, 490788, 3040, 161.44, 04-Jun-2024 16:00:00
90234, 49596, 490191, 3004, 163.18, 04-Jun-2024 16:00:00
90234, 49598, 190883, 831, 229.70, 04-Jun-2024 16:00:00
90234, 49599, 189729, 848, 223.74, 04-Jun-2024 16:00:00
90234, 49600, 202960, 683, 297.16, 04-Jun-2024 16:00:00
90234, 49601, 203657, 724, 281.29, 04-Jun-2024 16:00:00
90234, 49603, 102, 8668, 0.01, 04-Jun-2024 16:00:00
90234, 49604, 191362, 838, 228.36, 04-Jun-2024 16:00:00
90234, 49605, 286, 26742, 0.01, 04-Jun-2024 16:00:00
90234, 49606, 204621, 735, 278.40, 04-Jun-2024 16:00:00
90234, 51285, 25918, 2584, 10.03, 04-Jun-2024 16:00:00
90234, 51286, 4423, 3238, 1.37, 04-Jun-2024 16:00:00
90234, 51287, 4257, 3289, 1.29, 04-Jun-2024 16:00:00
90234, 51288, 26540, 2672, 9.93, 04-Jun-2024 16:00:00
90234, 51289, 28565, 2577, 11.08, 04-Jun-2024 16:00:00
90234, 51290, 4295, 3101, 1.39, 04-Jun-2024 16:00:00
90234, 51560, 3359, 2318, 1.45, 04-Jun-2024 16:00:00
90234, 51708, 0, 158585, 0.00, 04-Jun-2024 16:00:00
90234, 51709, 0, 159495, 0.00, 04-Jun-2024 16:00:00
90234, 51727, 0, 1414, 0.00, 04-Jun-2024 16:00:00
90234, 51729, 2951, 9302, 0.32, 04-Jun-2024 16:00:00
90234, 51795, 0, 6109, 0.00, 04-Jun-2024 16:00:00
90234, 51815, 24143, 2495, 9.68, 04-Jun-2024 16:00:00
90234, 51856, 5479, 244, 22.45, 04-Jun-2024 16:00:00
90234, 52109, 188, 10574, 0.02, 04-Jun-2024 16:00:00
90234, 52225, 4, 76, 0.05, 04-Jun-2024 16:00:00
90234, 52226, 243, 11973, 0.02, 04-Jun-2024 16:00:00
90234, 52773, 18646, 313, 59.57, 04-Jun-2024 16:00:00
90234, 52827, 750, 200, 3.75, 04-Jun-2024 16:00:00
90234, 52839, 18400, 309, 59.55, 04-Jun-2024 16:00:00
90234, 52858, 47011, 1346, 34.93, 04-Jun-2024 16:00:00
90234, 52860, 0, 1412, 0.00, 04-Jun-2024 16:00:00
90234, 52888, 0, 30307, 0.00, 04-Jun-2024 16:00:00
90234, 52920, 69336, 1258, 55.12, 04-Jun-2024 16:00:00
90234, 52926, 19960, 951, 20.99, 04-Jun-2024 16:00:00
90234, 52927, 19256, 963, 20.00, 04-Jun-2024 16:00:00
90234, 52930, 70455, 1298, 54.28, 04-Jun-2024 16:00:00
90234, 52931, 53573, 2125, 25.21, 04-Jun-2024 16:00:00
90234, 52932, 53769, 2091, 25.71, 04-Jun-2024 16:00:00
90234, 52950, 19275, 944, 20.42, 04-Jun-2024 16:00:00
90234, 53120, 5, 115854, 0.00, 04-Jun-2024 16:00:00
90234, 53162, 39, 29745, 0.00, 04-Jun-2024 16:00:00
90234, 53339, 5350, 264, 20.27, 04-Jun-2024 16:00:00
90234, 53362, 1328, 2919, 0.45, 04-Jun-2024 16:00:00
90234, 53369, 0, 9118, 0.00, 04-Jun-2024 16:00:00
90234, 53400, 1067, 24843, 0.04, 04-Jun-2024 16:00:00
90234, 53415, 0, 66379, 0.00, 04-Jun-2024 16:00:00
90234, 53822, 957, 665, 1.44, 04-Jun-2024 16:00:00
90234, 53912, 29, 14240, 0.00, 04-Jun-2024 16:00:00
90234, 53980, 0, 19076, 0.00, 04-Jun-2024 16:00:00
90234, 53981, 13, 3004, 0.00, 04-Jun-2024 16:00:00
90234, 53982, 10, 53952, 0.00, 04-Jun-2024 16:00:00
90234, 53991, 1976, 6783, 0.29, 04-Jun-2024 16:00:00
90234, 53992, 45, 12792, 0.00, 04-Jun-2024 16:00:00
90234, 53993, 414, 8619, 0.05, 04-Jun-2024 16:00:00
90234, 54124, 24542, 2590, 9.48, 04-Jun-2024 16:00:00
90234, 54125, 1312, 9328, 0.14, 04-Jun-2024 16:00:00
90234, 54126, 12928, 5394, 2.40, 04-Jun-2024 16:00:00
90234, 54127, 13390, 5572, 2.40, 04-Jun-2024 16:00:00
90234, 54128, 4027, 3295, 1.22, 04-Jun-2024 16:00:00
90234, 54130, 4408, 3240, 1.36, 04-Jun-2024 16:00:00
90234, 54340, 0, 58932, 0.00, 04-Jun-2024 16:00:00
90234, 54350, 1627, 1473, 1.10, 04-Jun-2024 16:00:00
90234, 54582, 4, 1022, 0.00, 04-Jun-2024 16:00:00
90234, 55292, 87, 17160, 0.01, 04-Jun-2024 16:00:00
90234, Total, 8129472, 4800966, 1.69, 04-Jun-2024 16:00:00
