BROKER,DEALERID,ORDERS,TRADES,RATIO,OTR_DATE
90234, 43872, 22, 548, 0.04, 07-May-2024 16:00:00
90234, 44213, 11, 391, 0.03, 07-May-2024 16:00:00
90234, 44450, 0, 5393, 0.00, 07-May-2024 16:00:00
90234, 44451, 0, 8542, 0.00, 07-May-2024 16:00:00
90234, 44453, 35, 275, 0.13, 07-May-2024 16:00:00
90234, 44454, 0, 39227, 0.00, 07-May-2024 16:00:00
90234, 44455, 23, 918, 0.03, 07-May-2024 16:00:00
90234, 44498, 185664, 427, 434.81, 07-May-2024 16:00:00
90234, 44500, 0, 23618, 0.00, 07-May-2024 16:00:00
90234, 44579, 0, 4145, 0.00, 07-May-2024 16:00:00
90234, 44590, 0, 8848, 0.00, 07-May-2024 16:00:00
90234, 44593, 0, 3661, 0.00, 07-May-2024 16:00:00
90234, 44619, 742, 123, 6.03, 07-May-2024 16:00:00
90234, 44787, 0, 6735, 0.00, 07-May-2024 16:00:00
90234, 44789, 15, 747, 0.02, 07-May-2024 16:00:00
90234, 44886, 14, 3801, 0.00, 07-May-2024 16:00:00
90234, 44888, 0, 6047, 0.00, 07-May-2024 16:00:00
90234, 44892, 3, 6196, 0.00, 07-May-2024 16:00:00
90234, 44911, 0, 6068, 0.00, 07-May-2024 16:00:00
90234, 44913, 0, 1592, 0.00, 07-May-2024 16:00:00
90234, 44914, 0, 1571, 0.00, 07-May-2024 16:00:00
90234, 44915, 0, 1789, 0.00, 07-May-2024 16:00:00
90234, 44920, 0, 5755, 0.00, 07-May-2024 16:00:00
90234, 44924, 10, 319, 0.03, 07-May-2024 16:00:00
90234, 44925, 1, 337, 0.00, 07-May-2024 16:00:00
90234, 44926, 1, 353, 0.00, 07-May-2024 16:00:00
90234, 44927, 1482, 118, 12.56, 07-May-2024 16:00:00
90234, 44949, 1357, 136, 9.98, 07-May-2024 16:00:00
90234, 44956, 0, 5403, 0.00, 07-May-2024 16:00:00
90234, 45145, 940, 416, 2.26, 07-May-2024 16:00:00
90234, 45146, 0, 309, 0.00, 07-May-2024 16:00:00
90234, 45148, 0, 26628, 0.00, 07-May-2024 16:00:00
90234, 45149, 0, 6110, 0.00, 07-May-2024 16:00:00
90234, 45150, 0, 6137, 0.00, 07-May-2024 16:00:00
90234, 45151, 0, 306, 0.00, 07-May-2024 16:00:00
90234, 45160, 0, 306, 0.00, 07-May-2024 16:00:00
90234, 45161, 40765, 271, 150.42, 07-May-2024 16:00:00
90234, 45162, 42032, 279, 150.65, 07-May-2024 16:00:00
90234, 45163, 43076, 253, 170.26, 07-May-2024 16:00:00
90234, 45164, 53334, 176, 303.03, 07-May-2024 16:00:00
90234, 45165, 50521, 162, 311.86, 07-May-2024 16:00:00
90234, 45166, 18378, 354, 51.92, 07-May-2024 16:00:00
90234, 45167, 56951, 157, 362.75, 07-May-2024 16:00:00
